"
id",conditon,value
ao53,congru,601
ao53,incong,651
a,congru,843
re16,incong,867
re16,congru,769
cg24,congru,804
cg24,incong,801
oe54,congru,769
oe54,incong,941
ge56,congru,657
ge56,incong,1052
ar33,congru,548
ar33,incong,1023
ku18,congru,746
ku18,incong,819
ah27,congru,935
ah27,incong,1085
lu27,congru,843
lu27,incong,1109
te32,congru,635
te32,incong,833
nh74,congru,956
nh74,incong,1002
md12,congru,1150
md12,incong,1209
rl58,congru,736
rl58,incong,732
oo56,congru,894
oo56,incong,1276
ci99,congru,1085
ci99,incong,1285
po20,congru,1428
bu22,congru,840
bu22,incong,823
po20,incong,1212
at39,congru,689
at39,incongru,653
ar10,congru,1381
ar10,incongru,1285
ec46,congru,694
ec46,incongru,903
rl08,congru,544
rl08,incong,658
ih24,incong,906
ve24,congru,771
ve24,incong,776
nr08,congru,618
nr08,incongru,900
,congru,800
ih24,congru,881
me11,congru,979
me11,incong,992
vm23,congru,858
vm23,incong,670
nu82,congru,564
nu82,incong,875
de64,congru,570
co57,congru,687
co57,incong,869
ta23,congru,895
ta23,incong,894
ra17,congru,945
ra17,incongru,1067
ao76,congru,920
ao76,incongru,1056
lr20,congru,1013
lr20,incongru,1489
ta61,congru,975
ta61,incongru,957
CI001,congru,532
CI002,incong,984
de64,incong,612
ao36,incongru,1046
ao36,congru,758
nv47,congru,498
nv47,incog,770
it92,congru,717
it92,incongru,894
,,
,,
,,
,,
,,
,,
,,
oo19,congru,1061
oo19,incongru,1205
ta20,congru,983
ta20,incong,1164
